20230222	20:40:49	8b32cab5-2a0a-4b9c-bc9a-c12d4acfd93a	/	GET
20230222	20:40:49	35763649-0fd6-4e67-9d16-10c12be9be70	/css/style.css	GET
20230222	20:40:49	7c990f52-9422-4698-b6a0-39105806a488	/favicon.ico	GET
20230223	20:52:58	2d02e21c-e38a-4386-939c-359f2e79f76a	GET	undefined	/
20230223	20:52:58	e43d2705-5976-45b7-b187-2e62d15c4d47	GET	undefined	/css/style.css
20230223	20:53:54	aa7fa002-b60f-48d0-8b22-f0d4f5f82d4d	GET	undefined	/
20230223	20:53:54	191a7a46-044d-437b-a9b2-061ff7057680	GET	undefined	/css/style.css
20230223	20:56:47	a9de698c-1698-48da-8378-7f378c298da4	GET	undefined	/
20230223	20:56:47	d2a78dd3-dfb3-4ce4-9baa-460d1c5d96e1	GET	undefined	/css/style.css
20230223	21:34:00	8f0780c0-bf6d-472e-94a2-ecb4402b4658	GET	undefined	/
20230223	21:34:00	dc3a581c-ecec-4160-893d-ca0ec43421d4	GET	undefined	/css/style.css
20230223	21:38:50	e6974c2c-ac48-45fb-a7ab-e48b579ed344	GET	undefined	/
20230223	21:38:50	f5fce377-437a-4d5c-ba5f-06db88b384be	GET	undefined	/css/style.css
20230223	21:41:34	1af4d83e-04a1-4833-b34f-c6325edb997b	GET	undefined	/dad
20230223	21:41:34	5f028e2c-687c-4678-9806-2ef12eac0da4	GET	undefined	/css/style.css
20230223	21:41:44	1c73a0d6-233a-4ac2-9441-88bc0d0461aa	GET	undefined	/
20230223	21:41:44	52fbb0f4-3ecb-4dc8-8b00-bdf6c4a3c00c	GET	undefined	/css/style.css
20230223	21:48:00	86875276-29e9-4a36-b09c-893d65b8af3b	GET	undefined	/
20230223	21:48:00	ab5c1dfb-ed49-47c0-9974-c42069a67d40	GET	undefined	/css/style.css
20230223	21:48:10	ca6e7fee-33b2-4b96-a9b7-b19cbd4429b4	GET	undefined	/d
20230223	21:48:10	d62d47c4-e895-4e2a-8a22-3adf572aa46c	GET	undefined	/css/style.css
20230223	21:48:15	cee8965f-449d-4eac-894c-0d167c8eab00	GET	undefined	/
20230223	21:48:16	d428b7f0-d726-4924-8c1c-497c6503f355	GET	undefined	/css/style.css
20230223	21:48:20	4156fc3b-3a27-479f-93b7-2e0ab8b14f78	GET	undefined	/
20230223	21:48:20	488e8571-2f06-4006-a426-7f479ddbb086	GET	undefined	/css/style.css
20230223	22:10:18	a2147bf6-9c6b-4684-8615-911cb00acdb7	GET	undefined	/subdir
20230223	22:10:33	3deb60a5-c203-4f1a-921a-a03151bb25bc	GET	undefined	/test
20230223	22:10:33	4ec92ef9-b736-466c-b4a8-cfbcef3384da	GET	undefined	/css/style.css
20230223	22:10:44	87b2da19-d018-4c80-a5f0-3f7859ea8fc2	GET	undefined	/subdir/test
20230223	22:12:44	90fdfe08-057a-44b0-8bab-21b9c33cd281	GET	undefined	/subdir/tes
20230223	22:12:44	f199156d-b0f9-4916-91b8-a20179b35a6a	GET	undefined	/subdir/css/style.css
20230223	22:20:18	769d70a5-0896-4873-8052-382ad8e57ff6	GET	undefined	/new-page
20230223	22:20:18	98d262b8-6f9e-4d91-884b-652f083e462c	GET	undefined	/css/style.css
20230223	22:20:18	be8c9976-00d5-454b-a52e-e251eed625d3	GET	undefined	/img/img1.jpg
20230223	22:20:44	a48af71d-495b-4e38-83d0-c0bed35b260d	GET	undefined	/old-page
20230223	22:20:44	ffe32d74-1efe-436a-bdf3-68054f04c804	GET	undefined	/new-page.html
20230223	22:20:44	95ec43b8-ef04-4f94-a18e-64d72b5fbaa4	GET	undefined	/css/style.css
20230223	22:20:44	f05a7e5b-0200-4c4c-a1be-921ebe8d035c	GET	undefined	/img/img1.jpg
20230223	22:20:49	230c230b-9037-4377-b0fd-d4273652d330	GET	undefined	/index
20230223	22:20:49	92b8fa2e-a1cc-4546-9822-20658ab640d4	GET	undefined	/css/style.css
20230224	21:25:54	f2853bbc-b070-4b47-a078-6169bc544f21	GET	undefined	/employees
20230224	21:28:48	13faa714-e9d6-4403-8854-f507ef55e075	POST	undefined	/employees
20230224	21:29:42	08ca82ef-058a-441c-9186-cd2a1b9a8dcf	POST	undefined	/employees
20230224	21:30:38	d1981571-00ed-4fa8-89cc-37003c3b9b70	PUT	undefined	/employees
20230224	21:31:04	80043dda-fcfa-4ecc-aeab-1380dc7e3521	DELETE	undefined	/employees
20230224	21:31:31	33ab1f8c-06b7-4288-a2c9-3cdbb81e74e3	GET	undefined	/employees/1
20230224	21:31:40	6e76b5de-aab3-4e7c-b4fc-ebadf0cc2008	GET	undefined	/employees/2
20230224	21:31:43	e7a5f2ec-0953-48d6-8afa-e35606fe1746	GET	undefined	/employees/5
20230225	12:01:22	d10ed676-1886-4026-b305-af07eca692b8	POST	undefined	/register
20230225	12:02:01	ba310e6b-f993-4019-bac1-ac20c5a8051b	POST	undefined	/register
20230225	12:10:28	490435d2-09d7-4276-987b-826334ad9adb	POST	undefined	/auth
20230225	12:11:03	5918a94a-058e-40b8-992b-36a3cccdf72f	POST	undefined	/auth
20230225	12:11:29	9ada6a74-500b-42eb-9ec7-da0e5ec3ad45	POST	undefined	/auth
20230225	12:11:46	a10eb820-bc44-4c33-a0eb-1ae696d5d16d	POST	undefined	/auth
20230225	12:11:50	5fc1f8e4-1e86-4ea7-8005-cb9a7a1e74c9	POST	undefined	/auth
